"Qty";"Value";"Device";"Package";"Parts";"Description";"ALLIED_NUMBER";"ALLIED_PRICE-STOCK";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MPN";"OC_FARNELL";"OC_NEWARK";"RS_PART_NUMBER";"RS_PRICE-STOCK";"SPICEPREFIX";
"4";"";"C-EUC0603";"C0603";"C4, C5, C6, C7";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";
"3";"";"CPOL-EUE10-20";"EB20D";"C1, C2, C3";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";
"4";"";"R-EU_R0603";"R0603";"R1, R2, R3, R7";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";
"7";"1751248";"1751248";"1751248";"MOT1, MOT2, MOT3, MOT4, MOT5, MOT6, PWR";"MKDS 1/ 2-3,5 Printklemme";"";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"";"";"";
"1";"1751280";"1751280";"1751280";"REMOTE";"MKDS 1/ 6-3,5 Printklemme";"";"";"";"";"";"";"";"";"";"1751280";"unknown";"27R1765";"";"";"";
"6";"1K";"R-EU_R0603";"R0603";"R6, R12, R15, R21, R27, R33";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";
"1";"2756";"2756";"DIP1500W100P250L3500H700Q28N";"TEENSY";"Teensy 3.2 ARM Cortex-M4 Dev Board";"70929283";"https://www.alliedelec.com/adafruit-industries-2756/70929283/";"Teensy 3.2 ARM Cortex-M4 Dev Board";"7mm";"Adafruit";"2756";"";"485-2756";"https://www.mouser.com/Search/Refine.aspx?Keyword=485-2756";"";"";"";"1245510";"http://uk.rs-online.com/web/p/products/1245510";"";
"12";"3K3";"R-EU_R0603";"R0603";"R4, R5, R10, R11, R13, R14, R19, R20, R25, R26, R31, R32";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";
"2";"MOUNT-PAD-ROUND3.6";"MOUNT-PAD-ROUND3.6";"3,6-PAD";"H1, H2";"MOUNTING PAD, round";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"6";"VNH5019ATR-E";"VNH5019ATR-E";"VNH5019A-E_1";"DRV1, DRV2, DRV3, DRV4, DRV5, DRV6";"STMicroelectronics VNH5019ATR-E, Brushed Motor Driver IC, 41 V 30A 30-Pin, MultiPowerSO";"";"";"STMicroelectronics VNH5019ATR-E, Brushed Motor Driver IC, 41 V 30A 30-Pin, MultiPowerSO";"mm";"STMicroelectronics";"VNH5019ATR-E";"";"511-VNH5019ATR-E";"https://www.mouser.com/Search/Refine.aspx?Keyword=511-VNH5019ATR-E";"";"";"";"1106608P";"http://uk.rs-online.com/web/p/products/1106608P";"";
"1";"VX7803-500";"VX7805-500";"VX7805500";"PS1";"Non-Isolated DC/DC Converters 6.5-36Vin 5Vout 0.5A 2.5W SIP non-Iso";"";"";"Non-Isolated DC/DC Converters 6.5-36Vin 5Vout 0.5A 2.5W SIP non-Iso";"10mm";"CUI";"VX7805-500";"";"490-VX7805-500";"https://www.mouser.com/Search/Refine.aspx?Keyword=490-VX7805-500";"";"";"";"";"";"";
